Datetime,aep,year_day,holiday,weekend,winter,spring,summer,fall,hour,month,day_of_week
2004-10-01 01:00:00,12379.0,275,0,0,0,0,0,1,1,10,4
2004-10-01 02:00:00,11935.0,275,0,0,0,0,0,1,2,10,4
2004-10-01 03:00:00,11692.0,275,0,0,0,0,0,1,3,10,4
2004-10-01 04:00:00,11597.0,275,0,0,0,0,0,1,4,10,4
2004-10-01 05:00:00,11681.0,275,0,0,0,0,0,1,5,10,4
2004-10-01 06:00:00,12280.0,275,0,0,0,0,0,1,6,10,4
2004-10-01 07:00:00,13692.0,275,0,0,0,0,0,1,7,10,4
2004-10-01 08:00:00,14618.0,275,0,0,0,0,0,1,8,10,4
2004-10-01 09:00:00,14903.0,275,0,0,0,0,0,1,9,10,4
2004-10-01 10:00:00,15118.0,275,0,0,0,0,0,1,10,10,4
2004-10-01 11:00:00,15242.0,275,0,0,0,0,0,1,11,10,4
2004-10-01 12:00:00,15375.0,275,0,0,0,0,0,1,12,10,4
2004-10-01 13:00:00,15404.0,275,0,0,0,0,0,1,13,10,4
2004-10-01 14:00:00,15655.0,275,0,0,0,0,0,1,14,10,4
2004-10-01 15:00:00,15739.0,275,0,0,0,0,0,1,15,10,4
2004-10-01 16:00:00,15739.0,275,0,0,0,0,0,1,16,10,4
2004-10-01 17:00:00,15644.0,275,0,0,0,0,0,1,17,10,4
2004-10-01 18:00:00,15353.0,275,0,0,0,0,0,1,18,10,4
2004-10-01 19:00:00,15034.0,275,0,0,0,0,0,1,19,10,4
2004-10-01 20:00:00,15211.0,275,0,0,0,0,0,1,20,10,4
2004-10-01 21:00:00,15349.0,275,0,0,0,0,0,1,21,10,4
2004-10-01 22:00:00,14837.0,275,0,0,0,0,0,1,22,10,4
2004-10-01 23:00:00,14067.0,275,0,0,0,0,0,1,23,10,4
2004-10-02 00:00:00,13147.0,276,0,1,0,0,0,1,0,10,5
2004-10-02 01:00:00,12260.0,276,0,1,0,0,0,1,1,10,5
2004-10-02 02:00:00,11672.0,276,0,1,0,0,0,1,2,10,5
2004-10-02 03:00:00,11352.0,276,0,1,0,0,0,1,3,10,5
2004-10-02 04:00:00,11177.0,276,0,1,0,0,0,1,4,10,5
2004-10-02 05:00:00,11142.0,276,0,1,0,0,0,1,5,10,5
2004-10-02 06:00:00,11331.0,276,0,1,0,0,0,1,6,10,5
2004-10-02 07:00:00,11866.0,276,0,1,0,0,0,1,7,10,5
2004-10-02 08:00:00,12387.0,276,0,1,0,0,0,1,8,10,5
2004-10-02 09:00:00,13144.0,276,0,1,0,0,0,1,9,10,5
2004-10-02 10:00:00,13712.0,276,0,1,0,0,0,1,10,10,5
2004-10-02 11:00:00,14082.0,276,0,1,0,0,0,1,11,10,5
2004-10-02 12:00:00,14080.0,276,0,1,0,0,0,1,12,10,5
2004-10-02 13:00:00,14056.0,276,0,1,0,0,0,1,13,10,5
2004-10-02 14:00:00,13934.0,276,0,1,0,0,0,1,14,10,5
2004-10-02 15:00:00,13758.0,276,0,1,0,0,0,1,15,10,5
2004-10-02 16:00:00,13579.0,276,0,1,0,0,0,1,16,10,5
2004-10-02 17:00:00,13620.0,276,0,1,0,0,0,1,17,10,5
2004-10-02 18:00:00,13483.0,276,0,1,0,0,0,1,18,10,5
2004-10-02 19:00:00,13379.0,276,0,1,0,0,0,1,19,10,5
2004-10-02 20:00:00,13825.0,276,0,1,0,0,0,1,20,10,5
2004-10-02 21:00:00,14056.0,276,0,1,0,0,0,1,21,10,5
2004-10-02 22:00:00,14015.0,276,0,1,0,0,0,1,22,10,5
2004-10-02 23:00:00,12940.0,276,0,1,0,0,0,1,23,10,5
2004-10-03 00:00:00,12172.0,277,0,1,0,0,0,1,0,10,6
2004-10-03 01:00:00,11443.0,277,0,1,0,0,0,1,1,10,6
2004-10-03 02:00:00,10807.0,277,0,1,0,0,0,1,2,10,6
2004-10-03 03:00:00,10600.0,277,0,1,0,0,0,1,3,10,6
2004-10-03 04:00:00,10438.0,277,0,1,0,0,0,1,4,10,6
2004-10-03 05:00:00,10430.0,277,0,1,0,0,0,1,5,10,6
2004-10-03 06:00:00,10509.0,277,0,1,0,0,0,1,6,10,6
2004-10-03 07:00:00,10795.0,277,0,1,0,0,0,1,7,10,6
2004-10-03 08:00:00,11288.0,277,0,1,0,0,0,1,8,10,6
2004-10-03 09:00:00,11965.0,277,0,1,0,0,0,1,9,10,6
2004-10-03 10:00:00,12493.0,277,0,1,0,0,0,1,10,10,6
2004-10-03 11:00:00,12722.0,277,0,1,0,0,0,1,11,10,6
2004-10-03 12:00:00,12908.0,277,0,1,0,0,0,1,12,10,6
2004-10-03 13:00:00,12997.0,277,0,1,0,0,0,1,13,10,6
2004-10-03 14:00:00,12924.0,277,0,1,0,0,0,1,14,10,6
2004-10-03 15:00:00,12759.0,277,0,1,0,0,0,1,15,10,6
2004-10-03 16:00:00,12605.0,277,0,1,0,0,0,1,16,10,6
2004-10-03 17:00:00,12755.0,277,0,1,0,0,0,1,17,10,6
2004-10-03 18:00:00,12795.0,277,0,1,0,0,0,1,18,10,6
2004-10-03 19:00:00,12979.0,277,0,1,0,0,0,1,19,10,6
2004-10-03 20:00:00,13819.0,277,0,1,0,0,0,1,20,10,6
2004-10-03 21:00:00,14237.0,277,0,1,0,0,0,1,21,10,6
2004-10-03 22:00:00,13878.0,277,0,1,0,0,0,1,22,10,6
2004-10-03 23:00:00,13132.0,277,0,1,0,0,0,1,23,10,6
2004-10-04 00:00:00,12351.0,278,0,0,0,0,0,1,0,10,0
2004-10-04 01:00:00,11817.0,278,0,0,0,0,0,1,1,10,0
2004-10-04 02:00:00,11408.0,278,0,0,0,0,0,1,2,10,0
2004-10-04 03:00:00,11261.0,278,0,0,0,0,0,1,3,10,0
2004-10-04 04:00:00,11247.0,278,0,0,0,0,0,1,4,10,0
2004-10-04 05:00:00,11414.0,278,0,0,0,0,0,1,5,10,0
2004-10-04 06:00:00,12283.0,278,0,0,0,0,0,1,6,10,0
2004-10-04 07:00:00,13862.0,278,0,0,0,0,0,1,7,10,0
2004-10-04 08:00:00,14864.0,278,0,0,0,0,0,1,8,10,0
2004-10-04 09:00:00,15046.0,278,0,0,0,0,0,1,9,10,0
2004-10-04 10:00:00,15282.0,278,0,0,0,0,0,1,10,10,0
2004-10-04 11:00:00,15511.0,278,0,0,0,0,0,1,11,10,0
